task_id,duration
set_path,0.116665
create_schema,0.228663
set_dist_ref_schema,0.251618
create_temp_schema,0.115443
load_BatchDate,0.100886
load_dimDate,0.206515
load_taxRate,0.12711
load_statusType,0.118298
load_Industry,0.114697
load_tradetype,0.126994
load_dimTime,0.271418
load_dimBroker,0.161344
Parse_Finwire,1.539378
load_dimCompany,0.155195
load_Financial,54.375812
load_prospect,0.541689
cnvrt_customermgmt,69.273667
load_customermgmt,0.17243
load_dimcustomer,0.670713
load_dimessages_dimcustomer,0.128126
update_prospect,0.222366
load_dimaccount,0.467702
load_CashBalances,4.715964
load_dimSecurity,3.316302
load_trade_history,1.073999
load_trade,1.673675
load_dimtrade,16.227408
load_dimessages_dimtrade,0.18284
load_dailymarket,2.437966
load_fact_market_history,80.759443
load_dimessages_factmarkethistory,0.210935
load_watchhistory,1.283435
load_factwatches,2.712394
load_holdings,7.309617
run_validation_query_Init,0.171874
run_validation_query_HistLoad,1.447859
