19670101-173145,CMP,kkhSvCsfgbDUvsiZWtPQwjkYPwKrfTUFMGMCWCBXBcOcTkaLSudO,0000000000,ACTV,DR,A,18860722,19918 Rogers North,,35233,Long Beach,NC,United States of America,Ellebracht,CUpESkLIQ LBcTnhDEOCLVhfDjOopGKRBxRYGboIrPFcDxMSGkskSwAJdAPWSAPTf T
19670103-113557,CMP,TGfFOOldnTHLjuAaQqJBgbibktVyiLStkrLCynHAZNCp,0000000001,ACTV,CG,BB,18540208,18065 Four Points Drive,Apt. 398,T5C 1T1,Atlanta,Nova Scotia,United States of America,Schrupp,CDQRuWjWYOxAXaxBmtiD ZsEcVdDdKZ gRBLzFSDejX UcSmRApkRBipTTGkWs hZqXkpvMsXFziJURrJLjfXBNHbnq XJUUkgfXRHUBMTsHGYahLMAHmNOUTAKAh fHaTI
19670103-192153,CMP,jRhDJJDxLPxUEMMpdhzdZNqRVTuzMCrlMcwMsdHNvIEBwDfErPG,0000000002,ACTV,SC,AA+,19210328,5397 Gessner Drive,,37933,Stamford,CO,Canada,Setera,NWRSuluTBHdsBdoLBKORDOmaM MNCKssPPBLngSJOOhjvUhajRiEREVEnOVZIAVHgkYzJELLsIQrJlCXSFJGZBhBsFFNQUbiFRsIoHcahXzFnOBRPFJwSkAZCwHYONWl
19670104-211149,CMP,RICOfhFDpPHwKRHsmPHYTpTzGDeJMQruPEEdPICrMiweHGwOFQYNoQXZWIjN,0000000003,ACTV,TI,A,19300328,2387 Halle Lower,,E7O 1I5,Elizabeth,Alberta,United States of America,Dorsett,EknTgdSRAbcjFnBQGkGhZwYKmsR DUnJcPlOMlLRcusE
19670106-054140,CMP,gIOONPxnQUwBdFNEMLBUXdUbFPDWDVOVnWIIMRpOMbaMGipmCAICpjncsHs,0000000004,ACTV,EI,FZ,18890418,20644 Birchwood Way,,V6D 1P4,Fort Wayne,VT,United States of America,Thursby,EXoxOMwRbSK ajeCNjiuEAxqzPKYpuNgBxxNMJrPYCXicCNNVXKbROeFROToBqgVhwndmvWzBJRbaCUzNDHKcljPkfRjItSquPfbNUqPQBDotrKSMsFnOLMmXRdTNwZsE
19670108-001313,CMP,KRtMROFTkhVPydRKxEDtVV,0000000005,ACTV,SP,BBB-,18641129,11323 Clifton East,,90229,Garden Grove,NC,United States of America,Basey,PSEFWVRYboJDCCbkRDGNzIyyBMeYi l PU qbrWLFDMBJAeRxWX UWMRKCFDNeHyssAbznTMCAtMRmhLSocEznZAgUDJzcLHLaH
19670108-211340,CMP,diqlqOsDpYaNQhSPBbXhMXocCDXEfNMfLDMDHOdpovsklTN,0000000006,ACTV,CT,AA-,18900130,3833 Princeton Crescent,,40214,Phoenix,RI,Canada,Leopard,mzRDwfNsLqwBLQedZIFTCCxaOnKHqwyD cqovHXAqgIsnRUBakGDMKeOSGIZMrXApUqoqxDpgMcJwgPGDQURpTAzOSIkfOKRJGsPeJumOTYjDVLByShyjrMYFxSzPMlAxNHEHGzqTJnHMFmpFJK
19670110-125422,CMP,JaBRAUCPDCLITNXXrADVCSIopfxogeRFkYFvBVlr,0000000007,ACTV,CT,ZyG,19030411,19309 McFarlin North,,60612,Little Rock,SC,United States of America,Aird,EoxwpIaSiVNkSIbAPRUTUVAnyUQpVyHrLpJUULKOGxxWlAyDfPudALpC ncyZpcUBGLCEizruOCLzBEPhoVUADcFJOUdmJXBcgjCCpKQQFKjquitvKLtxRwQtQwISaS
19670112-101252,CMP,AYrIhMoBIgUBkRdxKABPjIIShjxFyaWTAsK,0000000008,ACTV,CF,B-,18850117,9592 Carlingford Court,,91910,Jersey City,NJ,United States of America,Schindele,CubhsavcGhxQbtcjOHVewfWPlDftSehpfEaHdXptufiuxQkpsXSswfCIUVhsrUlpFUeJJmHXvwJSJmWDfQHgWXqoYoIZRhlmU ZARuVfVQZATCT rMttK
19670112-132815,CMP,zZCyFkqieiPsUGvBJwvhXNW,0000000009,ACTV,MD,AA-,19651026,1427 Addax Lane,,V6W 1U2,Berkeley,Nova Scotia,United States of America,Kalafut,kHAfHUvzVZKjUOvZcFghDkcCDsFjH
19670114-144557,CMP,rjkmNkyRrYnpSUDcOqIviweufHAQzFKBSXsYPAcKkbMbBVsEUWMNMRKJZK,0000000010,ACTV,TI,BBB+,,16547 Danvers Rue,,94489,Palmdale,AL,United States of America,Nelson,DSGKjAatPllQoVYFdO sxtAuqGWHxWCZjjFtsRjzLaZOAV
19670115-144105,CMP,gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL,0000000011,ACTV,WU,AA+,19571111,22376 Burton Upper,,10211,Lowell,New Brunswick,Canada,Mckerchie,jruKsEtvzWUoVEbZQDmUboPYXQIFGSVdnRCBrcRACGbiGZRINHI IBLfMvShSpFJouITJcuQGbSmKLdaxfqPVWaIQViRHSMbFJoJGVPpVqZTJdqjZOIpQvcuCo
19670117-011257,CMP,EOMpasJigJVvYQGKVcDPddEniaOUaTojpCAmYQrUeZJEGo,0000000012,ACTV,OS,BBB,18970909,11167 Wolfe Way,,B1C 1X4,Memphis,CO,United States of America,Proud,LCJEKmvsuZzCLbvDuxiTEIDb
19670117-175936,CMP,vnbESGDLPDBDVwsKNSXPqRYLGXjuxVJrQDsEcEVAYIyXWMFThaGbMIZNd,0000000013,ACTV,SS,BB,19651204,14719 North Rue,,10133,Montgomery,IA,United States of America,Modha,OhFmCmqqcTnRKODFDpCttrIvGNSBdCJKxkmDNLeTBrCIHsQfFPeTvTKWPCJPFpJLGlSvHNJRTYkAVmTwBvGcCwGQHrRMgQotGZIYGmfRADEdIQKc
